,amount,name,notes,recipe,units
1,['1'],large potato,or 150 grams potatoes (aloo),potato sandwich ,
2,['1'],medium bell pepper,or 1/3 cup finely chopped pepper,potato sandwich ,
3,['1'],small onion,or 30 grams onions or 1/4 cup finely chopped onion,potato sandwich ,
4,['1/2'],chaat masala,or add as required,potato sandwich ,teaspoon
5,['1/4'],red chilli powder,or add as required,potato sandwich ,teaspoon
6,,salt as per taste,,potato sandwich ,
7,,butter as required,,potato sandwich ,
0,['200'],urad dal,OR 1 cup urad dal (split and husked black gram),instant dosa mix ,grams
1,['¼'],methi seeds,(fenugreek seeds),instant dosa mix ,teaspoon
2,['500'],rice rava,OR 3 cups rice rava,instant dosa mix ,grams
3,['20'],besan,OR ¼ cup besan (gram flour),instant dosa mix ,grams
4,['1'],salt,or add as required,instant dosa mix ,teaspoon
0,['1 '],ajwain,(carom seeds),omapodi ,teaspoon 
1,['1 '],besan ,(gram flour) or 120 grams besan,omapodi ,cup 
2,['½ '],rice flour ,or 100 grams rice flour ,omapodi ,cup 
3,['1 '],generous pinch asafoetida,(hing),omapodi ,
4,['2 '],turmeric powder,(haldi) - optional,omapodi ,pinches
5,['¼'],red chilli powder,,omapodi ,teaspoon 
6,['1'],salt ,or add as required,omapodi ,teaspoon 
7,['1 '],oil ,or ghee or butter,omapodi ,tablespoon 
8,['6 to 7 '],water ,or add as required,omapodi ,tablespoons 
0,['½'],coriander seeds,(sabut dhania) or 40 grams coriander seeds,sambar powder ,cup
1,['2'],cumin seeds,(jeera),sambar powder ,tablespoon
2,['16 to 18'],dry red chillies,(sookhi lal mirch),sambar powder ,
3,['1.5'],fenugreek seeds,(methi seeds),sambar powder ,teaspoon
4,['1'],black pepper,(sabut kalimirch),sambar powder ,tablespoon
5,['2'],chana dal,(split husked bengal gram),sambar powder ,tablespoon
6,['1'],urad dal,(split husked black gram),sambar powder ,tablespoon
7,['⅓'],curry leaves,(kadi patta),sambar powder ,cup
8,['½'],mustard seeds,(rai),sambar powder ,tablespoon
9,['½'],asafoetida,(hing),sambar powder ,tablespoon
10,['½'],turmeric powder,(haldi),sambar powder ,tablespoon
0,['200'],white button mushrooms,,garlic mushroom ,grams
1,['2'],"sesame oil,",regular or toasted,garlic mushroom ,tablespoon
2,['2'],finely chopped garlic,(lahsun),garlic mushroom ,teaspoon
3,['1 to 1.5'],finely chopped ginger,(adrak),garlic mushroom ,teaspoon
4,['3'],chopped spring onion whites,or finely chopped onion,garlic mushroom ,tablespoon
5,['1 to 2'],finely chopped celery,(optional),garlic mushroom ,teaspoon
6,['1'],naturally fermented soy sauce,or add as required,garlic mushroom ,tablespoon
7,['2'],red chilli sauce,or red chili paste or add as required,garlic mushroom ,teaspoon
8,['½'],crushed black pepper,or pepper powder or ¼ teaspoon black pepper,garlic mushroom ,teaspoon
9,['2'],sichuan pepper,- crushed lightly in a mortar-pestle (optional),garlic mushroom ,
10,['⅔ to ¾'],vegetable stock or water,,garlic mushroom ,cup
11,['1'],corn starch + 2 tablespoon water,,garlic mushroom ,tablespoon
12,['½'],rice vinegar,or regular vinegar,garlic mushroom ,teaspoon
13,['1'],rice wine,(optional),garlic mushroom ,teaspoon
14,['¼ to ½'],sugar,,garlic mushroom ,teaspoon
15,['2 to 3'],spring onion greens,,garlic mushroom ,tablespoon
16,,salt as required,,garlic mushroom ,
0,['1.25'],seeraga samba rice,OR 245 grams seeraga samba rice - can also use basmati rice,dindigul style veg biryani ,cups
1,,enough water for soaking rice,,dindigul style veg biryani ,
2,['2'],green cardamoms,(choti elaichi),dindigul style veg biryani ,
3,['1'],inch cinnamon,(dalchini),dindigul style veg biryani ,
4,['1 to 2'],single strands of mace,(javitiri),dindigul style veg biryani ,
5,['2'],cloves,(lavang),dindigul style veg biryani ,
6,['1'],small piece of stone flower,(dagad phool) - skip if you do not have,dindigul style veg biryani ,
7,['8 to 10'],whole black pepper,(sabut kali mirch),dindigul style veg biryani ,
8,['¼'],fennel seeds,(saunf),dindigul style veg biryani ,teaspoon
9,['1'],large onion,OR 100 to 105 grams onions OR 1 cup chopped onion,dindigul style veg biryani ,
10,['1 or 2'],green chillies,(hari mirch),dindigul style veg biryani ,
11,['¼'],chopped coriander leaves,(dhania patta),dindigul style veg biryani ,cup
12,['2'],chopped mint leaves,(pudina patta),dindigul style veg biryani ,tablespoons
13,['2 to 2.5'],ghee,OR you can also use half ghee and half oil,dindigul style veg biryani ,tablespoons
14,['1'],tej patta,(indian bay leaf),dindigul style veg biryani ,
15,['1'],ginger-garlic paste,(adrak-lahsun ka paste),dindigul style veg biryani ,teaspoon
16,['¼'],turmeric powder,(haldi),dindigul style veg biryani ,teaspoon
17,['¼'],red chilli powder,(lal mirch powder),dindigul style veg biryani ,teaspoon
18,['½'],coriander powder,(dhania powder),dindigul style veg biryani ,teaspoon
19,['1'],large tomato,OR 100 grams tomato OR ½ cup chopped tomato,dindigul style veg biryani ,
20,['200'],mushrooms,OR 2 cups chopped mushrooms,dindigul style veg biryani ,grams
21,['¼'],fresh curd,(dahi or yogurt),dindigul style veg biryani ,cup
22,['1'],lemon juice,- OPTIONAL,dindigul style veg biryani ,teaspoon
23,['2.5'],water,,dindigul style veg biryani ,cups
24,,salt as required,,dindigul style veg biryani ,
0,['8-9'],garlic cloves,(lahsun),garlic coconut chutney ,
1,['¾'],grated coconut fresh,or frozen,garlic coconut chutney ,cup
2,['3'],bengal gram,(roasted chana dal),garlic coconut chutney ,tablespoon
3,['1-2'],chopped coriander leaves,(dhania patta),garlic coconut chutney ,tablespoon
4,['½'],chopped or grated ginger,(adrak)- optional,garlic coconut chutney ,teaspoon
5,['1 or 2'],green chilis,(hari mirch),garlic coconut chutney ,
6,['10-12'],curry leaves,(kadi patta),garlic coconut chutney ,
7,['2'],oil,,garlic coconut chutney ,teaspoon
8,,salt as required,,garlic coconut chutney ,
0,['3 to 4'],medium potatoes,(aloo),vrat ke pakore ,
1,['5'],kuttu ka atta,(buckwheat flour),vrat ke pakore ,tablespoon
2,['2'],peanuts,(mungphali),vrat ke pakore ,tablespoon
3,['1'],"green chili,",chopped (hari mirch),vrat ke pakore ,
4,['1 or 1.5'],dry pomegranate seeds,(anardana),vrat ke pakore ,teaspoon
5,['½'],cumin powder,(jeera powder),vrat ke pakore ,teaspoon
6,,approx ¾ to 1 cup water,or as required,vrat ke pakore ,
7,,oil,for deep or shallow frying,vrat ke pakore ,
8,,rock salt or sendha namak or upwas ka namak as required,,vrat ke pakore ,
0,['½'],lobia,(black eyed beans or chawli or rongi) or 120 grams lobia,lobia pulao ,cup
1,['1.5'],water,for pressure cooking,lobia pulao ,cups
2,['¼'],salt,,lobia pulao ,teaspoon
3,['2'],oil,(can use sunflower or safflower or peanut oil),lobia pulao ,tablespoon
4,['½'],cumin seeds,(jeera),lobia pulao ,teaspoon
5,['½'],cinnamon,(dalchini),lobia pulao ,inch
6,['3 to 4'],cloves,(lavang),lobia pulao ,
7,['2 to 3'],green cardamom,(chotti elaichi),lobia pulao ,
8,['1'],small to medium tej patta,(indian bay leaf),lobia pulao ,
9,['90 to 100'],onions,or 2 medium onions or ¾ cup sliced onions,lobia pulao ,grams
10,['½'],ginger-garlic paste,or ½ inch ginger and 3 to 4 medium garlic cloves - crushed in mortar-pestle,lobia pulao ,teaspoon
11,['2'],"medium tomatoes,",chopped or ¾ cup chopped tomatoes,lobia pulao ,
12,['1'],"green chili,",chopped,lobia pulao ,
13,['¼'],turmeric powder,(haldi),lobia pulao ,teaspoon
14,['½'],red chilli powder,(lal mirch powder),lobia pulao ,teaspoon
15,['½'],coriander powder,(dhania powder),lobia pulao ,teaspoon
16,['1'],chopped coriander leaves,(dhania patta),lobia pulao ,tablespoons
17,['1'],heaped basmati rice,or 200 grams basmati rice,lobia pulao ,cup
18,['1.75'],water,,lobia pulao ,cups
19,,salt as required,,lobia pulao ,
20,['2'],chopped coriander leaves for garnish,,lobia pulao ,tablespoons
0,['1'],whole wheat flour,(atta) or 120 grams whole wheat flour,eggless mango muffins ,cup
1,['½'],baking powder,,eggless mango muffins ,teaspoon
2,['¼'],baking soda,,eggless mango muffins ,teaspoon
3,,"a small pinch of salt,",if using salted butter skip adding salt,eggless mango muffins ,
4,['1'],large alphonso mango,or 230 to 240 grams with the seed or ½ cup tightly packed chopped mangoes,eggless mango muffins ,
5,,seeds of 2 or 3 green cardamoms,(choti elaichi),eggless mango muffins ,
6,['⅛'],nutmeg powder,or 2 pinches nutmeg powder (jaiphal powder),eggless mango muffins ,teaspoon
7,['3'],organic unrefined cane sugar,or regular sugar,eggless mango muffins ,tablespoon
8,['½'],"roughly chopped,",chilled unsalted or salted butter or 75 grams butter,eggless mango muffins ,cup
9,['½'],sweetened condensed milk,or 125 ml sweetened condensed milk,eggless mango muffins ,cup
0,['1.5'],whole wheat flour,(atta),bread bhatura ,cups
1,['3'],regular slices of whole wheat bread,(multi grain bread or white bread),bread bhatura ,
2,['1'],fine unroasted sooji,(semolina or rava or cream of wheat),bread bhatura ,tablespoon
3,['1'],curd,(dahi or yogurt),bread bhatura ,tablespoon
4,['⅔'],water,or add as required,bread bhatura ,cup
5,,salt as required,,bread bhatura ,
6,,oil for deep frying,,bread bhatura ,
0,['1'],methi leaves,(fenugreek leaves) - tightly packed,methi thepla ,cup
1,['1'],whole wheat flour,(atta) or 120 grams atta,methi thepla ,cup
2,['¼'],besan,(gram flour) or 40 grams besan,methi thepla ,cup
3,['¼'],bajra flour,(pearl millet flour) or 40 grams bajra flour,methi thepla ,cup
4,['¼'],jowar flour,(sorghum flour) or 40 grams jowar flour,methi thepla ,cup
5,['½'],ginger (adrak) + 1 or 2 green chilies (hari mirch),"- crushed, about 1 to 1.5 teaspoon ginger + green chili paste",methi thepla ,inch
6,['½'],red chili powder,(lal mirch powder),methi thepla ,teaspoon
7,['½'],turmeric powder,(haldi),methi thepla ,teaspoon
8,['½'],cumin powder,(jeera powder),methi thepla ,teaspoon
9,['½'],coriander powder,(dhania powder),methi thepla ,teaspoon
10,['¾'],salt,or add as required,methi thepla ,teaspoon
11,['1'],oil,,methi thepla ,tablespoon
12,['4 to 5'],dahi,(yogurt or dahi) or water for kneading or add as required,methi thepla ,tablespoon
13,,oil for roasting theplas,as required,methi thepla ,
0,['2'],whole wheat flour,(atta) or 240 grams whole wheat flour,methi puri ,cups
1,['1'],tightly packed fresh methi,(fenugreek leaves) or 1 tablespoon dry fenugreek leaves,methi puri ,cup
2,['1'],asafoetida,(hing),methi puri ,pinch
3,['¼'],turmeric powder,(haldi),methi puri ,teaspoon
4,['¼'],red chili powder,(lal mirch powder),methi puri ,teaspoon
5,['½'],ajwain seeds,(carom seeds),methi puri ,teaspoon
6,['⅓'],water,or add as required,methi puri ,cup
7,['3'],oil,,methi puri ,teaspoon
8,,salt as required,,methi puri ,
9,,oil for deep frying,,methi puri ,
0,['250'],okra,(bhindi or lady finger) or 2 heaped cups of chopped bhindi,bendakaya vepudu ,grams
1,['2'],oil,,bendakaya vepudu ,tablespoon
2,['½'],mustard seeds,(rai),bendakaya vepudu ,teaspoon
3,['½'],urad dal,(split husked black gram),bendakaya vepudu ,teaspoon
4,['½'],cumin seeds,(jeera),bendakaya vepudu ,teaspoon
5,['2'],dry red chilies,(sookhi lal mirch) - broken and deseeded,bendakaya vepudu ,
6,['8 to 10'],curry leaves,(kadi patta),bendakaya vepudu ,
7,['1'],medium onion,or ½ cup chopped onion,bendakaya vepudu ,
8,['¼'],turmeric powder,(haldi),bendakaya vepudu ,teaspoon
9,['½'],red chilli powder,(lal mirch powder),bendakaya vepudu ,teaspoon
10,,asafoetida,(hing),bendakaya vepudu ,pinch
11,,salt as required,,bendakaya vepudu ,
12,['1'],chopped coriander leaves,(dhania patta) for garnish,bendakaya vepudu ,tablespoon
0,['6'],baguette,,bruschetta ,slices
1,['75'],tomato,or 1 cup medium to large tomato or ½ chopped tomatoes,bruschetta ,grams
2,['2 to 3'],"basil leaves,",chopped,bruschetta ,
3,['1'],small garlic clove,(lahsun) - minced or grated,bruschetta ,
4,['¼'],crushed black pepper,or pepper powder,bruschetta ,teaspoon
5,['2'],extra virgin olive oil,,bruschetta ,teaspoons
6,,salt as required,,bruschetta ,
0,['1.5'],whole wheat flour,(atta),garlic naan ,cups
1,['1.5'],all purpose flour,(maida),garlic naan ,cups
2,['2'],garlic paste or minced garlic,(lahsun),garlic naan ,teaspoon
3,['2'],sugar,,garlic naan ,teaspoon
4,['1.5'],dry active yeast,,garlic naan ,teaspoon
5,['1.5 or 2'],lemon juice,OR 3 to 4 teaspoon curd (yogurt or dahi),garlic naan ,teaspoon
6,['4'],oil,or ghee,garlic naan ,tablespoon
7,['¾'],water,- add more if required,garlic naan ,cup
8,['2'],finely chopped garlic,(lahsun),garlic naan ,tablespoon
9,['1 to 2'],chopped celery,or coriander leaves (optional),garlic naan ,tablespoon
10,['1'],nigella seeds,(kalonji),garlic naan ,teaspoon
11,['1 to 1.5'],salt,or as required,garlic naan ,teaspoon
12,,extra oil or ghee for frying or smearing on the naan,(optional),garlic naan ,
0,['150'],carrots,OR 1 cup chopped carrots (gajar),carrot chutney ,grams
1,['1'],oil,"[can use sesame oil (gingelly oil), peanut oil or sunflower oil]",carrot chutney ,teaspoon
2,['1'],urad dal,(husked and split black gram),carrot chutney ,teaspoon
3,['1'],chana dal,(husked and split bengal gram),carrot chutney ,teaspoon
4,['1'],green chili,(hari mirch),carrot chutney ,
5,['4 to 5'],curry leaves,(kadi patta) - chopped,carrot chutney ,
6,['1'],of asafoetida,(hing),carrot chutney ,pinch
7,['⅓'],grated coconut,,carrot chutney ,cup
8,['⅓ to ½'],water,,carrot chutney ,cup
9,,salt as required,,carrot chutney ,
10,['2'],oil,,carrot chutney ,teaspoons
11,['½'],mustard seeds,(rai),carrot chutney ,teaspoon
12,['4 to 5'],curry leaves,(kadi patta),carrot chutney ,
13,['1'],asafoetida,(hing),carrot chutney ,pinch
0,['1'],whole moong beans,(whole green gram),moong dal dhokla ,cup
1,['1'],ginger-green chilli paste,,moong dal dhokla ,tablespoon
2,['½ '],water,or as required for grinding moong beans,moong dal dhokla ,cup 
3,['1'],"coriander leaves,",chopped,moong dal dhokla ,tablespoon
4,['1'],oil,,moong dal dhokla ,tablespoon
5,['1'],lemon juice,,moong dal dhokla ,tablespoon
6,,salt,as required,moong dal dhokla ,
7,['1'],fruit salt ,or eno,moong dal dhokla ,teaspoon
8,['1 to 2'],oil,,moong dal dhokla ,tablespoon
9,['½'],mustard seeds,,moong dal dhokla ,teaspoon
10,['½'],cumin seeds,(jeera),moong dal dhokla ,teaspoon
11,['1'],asafoetida,(hing),moong dal dhokla ,pinch 
12,['1'],roasted sesame seeds,(bhuna hua til),moong dal dhokla ,teaspoon
13,['1'],sprig curry leaves,(kadi patta),moong dal dhokla ,
14,['2'],water,,moong dal dhokla ,tablespoon
15,['¼'],"coriander leaves,",finely chopped,moong dal dhokla ,cup
16,['¼'],grated coconut,- optional,moong dal dhokla ,cup
0,['1.5'],basmati rice,or 300 grams basmati rice,mughlai veg biryani ,cups
1,['1'],cinnamon,(dalchini),mughlai veg biryani ,inch
2,['1'],medium tej patta,(indian bay leaf or tamalpatra),mughlai veg biryani ,
3,['2 to 3'],single strands of mace,(javitri),mughlai veg biryani ,
4,['3'],cloves,(lavang),mughlai veg biryani ,
5,['3'],green cardamoms,(hari elaichi),mughlai veg biryani ,
6,['5'],water for cooking rice,,mughlai veg biryani ,cups
7,['½'],salt or add as required,,mughlai veg biryani ,teaspoon
8,['10 to 12'],"almonds,",blanched in hot water and peeled,mughlai veg biryani ,
9,['1'],melon seeds,(magaz) soaked in hot water,mughlai veg biryani ,tablespoon
10,['1'],desiccated coconut,,mughlai veg biryani ,tablespoon
11,['2'],water for grinding,,mughlai veg biryani ,tablespoon
12,['3 to 4'],ghee,,mughlai veg biryani ,tablespoon
13,['10 to 12'],almonds,(badam),mughlai veg biryani ,
14,['15 to 16'],raisins,(kishmish),mughlai veg biryani ,
15,['10 to 12'],cashews,(kaju),mughlai veg biryani ,
16,['1'],"large onion,",thinly sliced or 140 to 150 grams onions or 1 cup tightly packed thinly sliced onions,mughlai veg biryani ,
17,['1'],medium sized tej patta,(indian bay leaf or tamalpatra),mughlai veg biryani ,
18,['3'],cloves,(lavang),mughlai veg biryani ,
19,['1'],cinnamon,(dalchini),mughlai veg biryani ,inch
20,['2'],single strands of mace,(javitri),mughlai veg biryani ,
21,['3'],green cardamoms,(hari elaichi),mughlai veg biryani ,
22,['1'],black cardamom,(badi elaichi),mughlai veg biryani ,
23,['8 to 9'],black pepper,(sabut kali mirch),mughlai veg biryani ,
24,['1'],caraway seeds,(shah jeera),mughlai veg biryani ,teaspoon
25,['1'],ginger-garlic paste,"or 7 to 8 garlic cloves + 1 inch ginger, crushed to a paste in mortar-pestle",mughlai veg biryani ,tablespoon
26,['2.5 to 3'],mixed veggies,"(carrots, french beans, potatoes, mushrooms, cauliflower, broccoli etc)",mughlai veg biryani ,cups
27,['⅓'],"green peas,",fresh or frozen (matar),mughlai veg biryani ,cup
28,['½'],kashmiri red chili powder,,mughlai veg biryani ,teaspoon
29,['½'],fresh curd,(yogurt or dahi),mughlai veg biryani ,cup
30,['⅔'],water for pressure cooking,,mughlai veg biryani ,cup
31,['½'],garam masala powder,or biryani masala powder,mughlai veg biryani ,teaspoon
32,,salt as required,,mughlai veg biryani ,
33,['150 to 200'],"paneer,",optional,mughlai veg biryani ,grams
34,['3'],warm milk + ⅛ tsp saffron strands,,mughlai veg biryani ,tablespoon
35,['2'],chopped mint leaves,(pudina patta),mughlai veg biryani ,tablespoon
36,['2'],rose water,or kewra water,mughlai veg biryani ,teaspoon
0,['180'],rice sevai,(rice vermicelli or rice seviyan) OR about 1.75 cups rice sevai,rice sevai upma ,grams
1,['4.5 to 5'],water,for cooking rice vermicelli,rice sevai upma ,cups
2,['1'],mustard seeds,(rai),rice sevai upma ,teaspoon
3,['1 or 2'],green chilies,chopped,rice sevai upma ,
4,['½'],ginger,"(adrak) - finely chopped, about 1 teaspoon finely chopped ginger",rice sevai upma ,inch
5,['1'],medium onion,- finely chopped,rice sevai upma ,
6,['8 to 10'],curry leaves,(kadi patta),rice sevai upma ,
7,['12 to 15'],cashews,(kaju) - halved or whole,rice sevai upma ,
8,['4 to 5'],grated coconut,or add as required,rice sevai upma ,tablespoon
9,['2'],coconut oil,or any oil or you can also use ghee,rice sevai upma ,tablespoon
10,['2 to 3'],chopped coriander leaves,(dhania patta),rice sevai upma ,tablespoon
11,['1'],small to medium lime or lemon,- sliced or diced to be served with the upma,rice sevai upma ,
12,,salt as required,,rice sevai upma ,
0,['5-6'],small or medium sized raw mangoes,,mango pickle ,
1,['1.5'],split fenugreek seeds,(methi dana),mango pickle ,tablespoon
2,['1.5 to 2'],split yellow mustard seeds,"(rai dana), optional",mango pickle ,tablespoon
3,['2'],"fennel seed,",whole or coarsely ground,mango pickle ,tablespoon
4,['1.5'],nigella seeds,(kalonji),mango pickle ,tablespoon
5,['1 or 1.5'],turmeric,(haldi),mango pickle ,tablespoon
6,['1.5 to 2'],red chili powder,(lal mirch powder),mango pickle ,tablespoon
7,,salt as required,,mango pickle ,
8,,mustard oil as required,,mango pickle ,
0,['1'],"mint leaves,","chopped, (pudina patta)",mint rice ,cup
1,['½'],"coriander leaves,",chopped (dhania patta),mint rice ,cup
